D05	57177116	57500963	qFE
D05	58253262	59040268	qFE
D06	6741357	7751219	qFE
D06	59059353	59841739	qFE
D06	64063940	64263987	qFE
D07	11759505	11959396	qFE
D08	67938371	68043556	qFE
D08	68327031	68572604	qFE
D09	43592791	44593524	qFE
D10	45527295	46398380	qFE
D11	2099230	2841049	qFE
D11	34611187	35466213	qFE
D11	44344264	44690424	qFE
D11	48825164	48996569	qFE
D11	63775855	64081429	qFE
D11	66063084	66177097	qFE
D12	832768	833236	qFE
D12	5957567	6157648	qFE
D13	53951256	54954544	qFE
A06	126516375	126716642	qFFSH
A01	9699257	9899353	qFL
A01	26252923	27256711	qFL
A01	38751367	38751571	qFL
A02	29985	30200	qFL
A02	44962263	45255313	qFL
A05	1038861	1239091	qFL
A05	3935094	3978950	qFL
A05	14973032	15173081	qFL
A05	39436326	39441513	qFL
A06	94573092	94641842	qFL
A06	127114055	127273973	qFL
A07	15400681	15596484	qFL
A07	72993029	73121626	qFL
A07	90499686	93188576	qFL
A07	94656426	94692370	qFL
A08	5561423	5769997	qFL
A08	6205625	6957724	qFL
A08	15469066	16029693	qFL
A08	21974913	21974946	qFL
A09	21799774	22123446	qFL
A09	83392105	83635868	qFL
A10	80304925	80548576	qFL
A10	105409464	105609620	qFL
A10	105762857	105962943	qFL
A10	114840227	115040279	qFL
A10	115103537	115328572	qFL
A10	115531496	115621458	qFL
A10	115920530	117351085	qFL
A11	2568036	2582285	qFL
A11	3679669	3706990	qFL
A11	95924597	96238518	qFL
A12	848483	1055621	qFL
A12	1730907	1931035	qFL
A13	5414560	5859482	qFL
A13	57235521	57412216	qFL
A13	92450228	93452687	qFL
A13	106684269	106812855	qFL
A13	107018116	107049450	qFL
D01	57268670	57481127	qFL
D01	65514204	65714342	qFL
D02	4654049	4681438	qFL
D02	11462072	11476895	qFL
D02	28404706	28604833	qFL
D02	63410280	63617887	qFL
D03	19717977	19918080	qFL
D04	58404255	58604392	qFL
D05	4812839	5191451	qFL
D05	8503417	8677505	qFL
D05	27033603	27431960	qFL
D05	27824666	28011695	qFL
D05	32343457	32543535	qFL
D06	7042057	7255083	qFL
D06	7522294	7720595	qFL
D06	56457247	56657257	qFL
D07	6304970	6496929	qFL
D07	32502424	32510138	qFL
D07	33962913	34194838	qFL
D07	59876940	60694631	qFL
D10	12677307	12926222	qFL
D10	14618578	15230723	qFL
D10	57506649	57506854	qFL
D11	48556669	49410932	qFL
D11	49433441	49471379	qFL
D11	50672082	51556829	qFL
D11	52380039	52653378	qFL
D12	53615820	53815965	qFL
D13	52958056	53370786	qFL
D13	54614415	54814577	qFL
D13	58075961	58432241	qFL
A10	112727817	112936677	qFM
D05	14973086	15173420	qFM
D07	4857163	5057066	qFM
D11	1639747	1833108	qFM
D11	7664347	7848252	qFM
A01	56068096	57076655	qFS
A01	59870239	61474230	qFS
A01	63318305	64212316	qFS
A01	67063065	68013156	qFS
A01	70319209	71514117	qFS
A01	72876932	74073966	qFS
A01	79659023	80560461	qFS
A01	81782462	82672186	qFS
A01	104344367	105407808	qFS
A01	105757274	106757227	qFS
A01	110283447	111284185	qFS
A02	105514535	105568722	qFS
A03	105471732	105671812	qFS
A07	15400681	15596484	qFS
A07	71818356	72123258	qFS
A07	72928026	73121626	qFS
A07	86464889	86694472	qFS
A07	89047945	89434763	qFS
A07	90074964	93393718	qFS
A07	94380272	94393952	qFS
A08	15469066	15515829	qFS
A08	27888512	28320885	qFS
A08	96774477	96804660	qFS
A08	123984183	124184756	qFS
